Element Symbol,Element Name,Discovery Year,Atomic Number,Atomic Mass (amu),Electron Configuration,Common Isotopes,State at 25°C,Melting Point (°C),Melting Point (°F),Melting Point (K),Boiling Point (°C),Density (g/cm³),Color/Appearance,Conductivity,Hardness/Malleability,Reactivity,Electronegativity,"Ionization Energy (e.g., eV)",Valency,Oxidation States,Atomic Radius (pm),Electronegativity Value,Ionization Energy Value,Metallic Character,Radioactivity,Nuclear Stability,Half-Life,Magnetism Type,Magnetic Susceptibility,Emission/Absorption Spectra,Spectral Lines,Biological Role,Environmental Behavior,Allotropes,symmetry,volume,Compounds
H,Hydrogen,1766,1,1.008,1s¹,H-1;H-2,Gas,-259.14,-434.4519999999999,14.00999999999999,-252.87,8.99e-05,Colorless gas,Low,Unknown,High,2.2,13.598,1,+1;-1,53,2.2,13.598,Nonmetal,Low (H-3),Stable (H-1;H-2),H-3: 12.32 years,Diamagnetic,-2.23×10⁻⁹ cm³/mol,Lyman/Balmer series,121.6 nm (Lyman-alpha),"Essential (water, organic compounds)",Highly mobile gas; forms water,Diatomic (H₂),P2_12_12_1,371.81239953751634,"['PrH', 'SiH', 'Ba2HCl2', 'HF', 'Cr3H', 'HRh', 'RbHS', 'Yb3H', 'Ba3H', 'HW', 'HC3', 'HPt3', 'NbH', 'HBr', 'MnH', 'KH', 'H(WO3)4', 'MoH', 'RbH', 'Sr2HBr2', 'Re3H', 'Y3H', 'InH', 'Si3H', 'Al3H', 'LaHO2', 'TbHO2', 'HNF2', 'HCl', 'HCO', 'ZnH', 'MgH', 'HW3', 'Mo2HO6', 'CdH', 'HCN', 'GaHO2', 'Ca2HCl2', 'KHS', 'BH', 'ErH', 'VH', 'AgH', 'PmH', 'HI', 'FeHO2', 'H(CO)2', 'CuHO2', 'CuH', 'Tl3H', 'Ti2HPd', 'NiH', 'CsH', 'Mn2HO4', 'HI3', 'HC2N3', 'Zr2HBr2', 'HC6', 'TlH', 'HC', 'GaH', 'LiH', 'CoHO2', 'GdHO2', 'Ge3H', 'LiHO2', 'NaHO', 'CrH', 'Eu2HCl2', 'ErHO2', 'TiH', 'TlHO', 'MgNiH', 'Ba2HI2', 'HAuO2', 'YHO2', 'HPb', 'V2H', 'Cr3HO8', 'YbHO2', 'VHO3', 'AlHO2', 'Eu3H', 'Ca2HI2', 'HC2', 'Sr2HI2', 'Ca2HBr2', 'HPd3', 'Co4H', 'RbHO', 'Sr3H', 'EuHO3', 'LiHF2', 'Co3H', 'Ni3H', 'Np3H', 'P3H', 'HIr', 'CaHN', 'Fe3H', 'Sr2HCl2', 'Pa3H', 'Ti2H', 'NaHS', 'Ta2H', 'MnHO2', 'HOs3', 'Ni2H', 'HN', 'NbHO3', 'LiHPd', 'BeH', 'FeH', 'Mg149H', 'SmHO2', 'Pu3H', 'HPd', 'Ba2HBr2', 'ScHO2', 'Tc3H', 'CoH', 'Mo3H', 'HoHO2', 'Cr2HO4', 'Na2HF4', 'ZrH', 'NaH']"
He,Helium,1895,2,4.0026,1s²,He-4;He-3,Gas,-272.2,-458,0.95,-268.93,0.0001785,Colorless gas,None (insulator),Unknown,Very low,Unknown,24.587,0,0,31,Unknown,24.587,Noble gas,Unknown,Stable,Unknown,Diamagnetic,-1.95×10⁻⁹ cm³/mol,Sharp lines in UV/visible,58.4 nm (strong),Unknown,Inert; escapes atmosphere,Monatomic,Im-3m,17.293960273317424,"['HeSiO2', 'He']"
Li,Lithium,1817,3,6.94,[He] 2s¹,Li-7;Li-6,Solid,180.54,356.972,453.6899999999999,1342,0.534,Silvery-white,High (metal),Soft (knife-cut),High,0.98,5.392,1,1,152,0.98,5.392,Alkali metal,Low (Li-6 trace),Stable,Unknown,Paramagnetic,1.4×10⁻⁵ cm³/mol,Red flame (670.8 nm),670.8 nm (Li I),"Nerve function, batteries",Soluble salts; bioaccumulates,Unknown,R-3m,61.205660097660434,"['LiRe3', 'LiHo3', 'LiS', 'LiMg149', 'LiW3', 'LiBr', 'LiAc3', 'LiRh', 'Ba3Li', 'LiB11', 'LiTm3', 'LiAs', 'LiDy3', 'LiPm3', 'LiO8', 'LiMg15', 'LiLa3', 'LiPu3', 'LiB', 'LiO2', 'LiPd', 'LiAl2', 'LiPt3', 'LiCl', 'LiPa', 'LiPd3', 'LiCd3', 'LiCa4', 'LiZn3', 'LiRh3', 'LiMg7', 'Sr3Li', 'LiLu3', 'LiBe', 'LiPb3', 'LiC12', 'LiMn', 'LiEu3', 'LiBi', 'LiAu3', 'LiP', 'LiAs3', 'LiPb', 'LiEr3', 'LiNp3', 'LiGa3', 'LiB3', 'LiGe3', 'LiHf', 'LiP3', 'Li', 'LiYb3', 'LiMg5', 'LiCa3', 'LiH', 'LiGa2', 'LiZn2', 'LiIn3', 'LiAu', 'LiMg', 'LiIn2', 'LiIr', 'LiAg3', 'LiGd3', 'LiP7', 'LiMg2', 'LiAg', 'LiPt7', 'LiHg', 'LiSn', 'LiAl', 'LiCe3', 'Rb3Li', 'LiNi3', 'LiPd7', 'LiB9', 'LiS4', 'LiCu3', 'LiC6', 'LiMg3', 'LiTl', 'LiSb3', 'LiZn13', 'LiGe', 'K3Li', 'LiSm3', 'LiAl3', 'LiF3', 'LiY3', 'LiSn3', 'LiHg3', 'LiPr3', 'LiU', 'LiTe3', 'LiTl3', 'LiF', 'LiI', 'LiSi3', 'LiTb3', 'LiN', 'LiPt', 'LiN3']"
Be,Beryllium,1798,4,9.012,[He] 2s²,Be-9,Solid,1287,2348.6,1560.15,2469,1.848,Steel-gray,High,Very hard/brittle,Moderate,1.57,9.323,2,2,112,1.57,9.323,Alkaline earth,Unknown,Stable,Unknown,Diamagnetic,-1.2×10⁻⁵ cm³/mol,Green flame lines,457.3 nm,Bone structure (trace),Low solubility; toxic dust,Unknown,P6_3/mmc,31.796370288803224,"['BeGa3', 'TiBeB', 'Na2BeO2', 'Be(CN)2', 'RbBeH3', 'BeAg3', 'CaBeGe', 'BeRh', 'BeSO8', 'BeZn13', 'CaBeSi', 'NaBeSb', 'Ta4Be', 'BeCl2', 'BeIn3', 'BeSe', 'Na3Be', 'NdBeCu4', 'Na2BeH4', 'HfBe', 'BeGe3', 'BeP2', 'BeCu', 'Be(Bi3O5)4', 'Na6BeO4', 'BeB2', 'Li2BeAs2', 'BeFe3', 'BeSnAs2', 'Ta2Be', 'BePd', 'LiBe', 'BeAlH5', 'Be(BO2)4', 'BeNi', 'BeC2', 'SrBeSi', 'BeNF3', 'K2BeO2', 'Be(PN2)2', 'BePd3', 'Ti4Be', 'BeF4', 'Np3Be', 'BeZn3O4', 'BeSiAs2', 'HoBeCu4', 'BeBr2', 'Be(HO)2', 'Li3Be', 'BeClO', 'Cs2BeO2', 'BeTe', 'BaBeSi', 'Mg16BeAl12', 'BeCo', 'LiBeN', 'HfBeSi', 'LiBeSb', 'BeAl6O10', 'K4BeP2', 'BeF2', 'Be(B3H7)2', 'Na2BeF4', 'TbBeCu4', 'BeRu3', 'K3Be', 'Be(BH4)2', 'BeO', 'BeAl3', 'LiBeP', 'BeGaH5', 'Th3Be', 'BeZnO2', 'BeCN2', 'LiBeAs', 'Be(N3O7)2', 'BeSiNi2', 'Ti11BeO20', 'Be(GaO2)2', 'BeSnP2', 'ZrBeSi', 'NaBeAs', 'K4BeAs2', 'BeNi3', 'TmBeCu4', 'BeGeP2', 'BeS', 'BeCr3', 'BeCrO4', 'Be(B6C)2', 'TaBeB', 'BeSiP2', 'BeGeAs2', 'BeZn3S4', 'Li2BeF4', 'TiBe', 'Be', 'BeAu3', 'BeCo2Ge', 'NaBeO2', 'LiBeH3', 'BeZnS2', 'Be(B3H8)2', 'Be(PO3)2', 'BeAu', 'BeH', 'BeNb4', 'KBeH3', 'Be(H2N)2', 'BeO2', 'ZrBeB', 'CeBeAl3', 'SmBeCu4', 'KBeF3', 'LaBeAl3', 'K3BeF5', 'BeI2', 'BeAg4', 'Zr3Be', 'Mn3Be', 'BePd2', 'BeMo3', 'BeAu2', 'Li2BeH4', 'SrBeGe', 'BeSiN2', 'SrBeF4', 'YBeCu4', 'CsBeH3', 'BeCo2Si', 'Mg149Be', 'LiBeB', 'DyBeCu4', 'Ti3Be', 'Hf3Be', 'BePb3', 'BeH2']"
B,Boron,1808,5,10.81,[He] 2s²2p¹,B-11;B-10,Solid,2076,3768.8,2349.15,3927,2.34 (crystalline),Black (cryst.); brown (amorph.),Low (semiconductor),Extremely hard,Moderate,2.04,8.298,3,3,85,2.04,8.298,Metalloid,Unknown,Stable,Unknown,Diamagnetic,-8.7×10⁻⁶ cm³/mol,Green flame (546 nm),249.8 nm (strong),Plant nutrient (boric acid),Insoluble; leaches slowly,"Amorphous, α-rhombohedral, β-rhombohedral",R-3m,86.74916330018324,"['Ni2B', 'BC3', 'Ga3B', 'RbB', 'BiB', 'Li2B', 'SnB', 'KB', 'In3B', 'Ge3B', 'Co3B', 'Ti2B', 'LiB', 'NaB', 'GeB', 'BI3', 'BRh2', 'Re3B', 'BIr', 'B', 'BSe2', 'BF2', 'Mg3B', 'BCl2', 'BRh', 'BW', 'SiB', 'BAu3', 'BPt3', 'BH', 'BPt2', 'BO3', 'BPd4', 'Mn2B', 'BBr', 'Th3B', 'Si3B', 'TiB', 'BPd6', 'TcB', 'Tc3B', 'Co2B', 'NbB', 'Cd3B', 'BPd5', 'Co4B', 'Ta2B', 'ZrB', 'BRu', 'PuB', 'BS2', 'Tl3B', 'Np3B', 'BW2', 'BPd3', 'Zn3B', 'BOs3', 'BPb3', 'BCl3', 'BC', 'Ni3B', 'Sn3B', 'Fe3B', 'MnB', 'BC7', 'HfB', 'Fe2B', 'BC5', 'Be2B', 'BCl', 'CoB', 'ReB', 'BMo', 'BF3', 'BAu', 'Mg7B', 'Li3B', 'BAs', 'TaB', 'VB', 'BOs', 'Mg15B', 'BH3', 'Cr4B', 'FeB', 'NiB', 'BPt', 'BSb', 'BMo2', 'BRu3', 'Be4B', 'CrB', 'Mn4B', 'Hg3B', 'Na3B', 'BN', 'CsB', 'BBr3', 'BPd2', 'BP', 'Cr2B']"
C,Carbon,Ancient,6,12.011,[He] 2s²2p²,C-12;C-13,Solid,3550,6422,3823,3825 (subl.),2.26 (graphite); 3.51 (diamond),Black (graphite); clear (diamond),High (graphite); low (diamond),Hard (diamond); soft (graphite),Low,2.55,11.26,4,+4;+2;-4,77,2.55,11.26,Nonmetal,Unknown,Stable,Unknown,Diamagnetic,-6.0×10⁻⁶ (graphite),Swan bands (diatomic),247.8 nm (C I),Essential (all life),CO₂ cycle; persistent (diamond),"Graphite, diamond, graphene, fullerenes",C2/m,18.32977894194205,"['V2C', 'Mo2C', 'K4C', 'Mg7C', 'AgC', 'Lu2C', 'RuC', 'Rb4C', 'CO', 'Hf3C', 'AuC', 'GaC', 'HgC', 'Cr2C', 'Fe4C', 'SiC', 'WC', 'CS3', 'ReC', 'Zr3C', 'CO2', 'Fe2C', 'W3C', 'B9C', 'TlC', 'Dy2C', 'NbC', 'C', 'Ta2C', 'TaC', 'Gd2C', 'HC', 'B4C', 'Ti2C', 'Tb2C', 'Th5C', 'CO3', 'InC', 'GeC', 'NaC', 'CS30', 'CI2', 'BC', 'CN2', 'HfC', 'IrC', 'PbC', 'Ta3C', 'ZrC', 'Sc2C', 'CF', 'Yb2C', 'CI4', 'Ni3C', 'CN', 'CCl4', 'CrC', 'PtC', 'Zn3C', 'Hg3C', 'KC', 'Ho2C', 'CCl2', 'Sm2C', 'W2C', 'Mg15C', 'Tm2C', 'Fe3C', 'OsC', 'Nb2C', 'CBr4', 'CS', 'Y2C', 'MoC', 'Mg3C', 'CdC', 'CS14', 'Er2C', 'LaC', 'CF4', 'Tc3C']"
N,Nitrogen,1772,7,14.007,[He] 2s²2p³,N-14;N-15,Gas,-210,-346,63.14999999999998,-195.79,0.0012506,Colorless gas,Low,Unknown,Moderate,3.04,14.534,"3,5",+5;+3;-3,70,3.04,14.534,Nonmetal,Unknown,Stable,Unknown,Diamagnetic,-1.2×10⁻⁸ cm³/mol,Violet bands (N₂⁺),337.1 nm,"Essential (proteins, DNA)",N₂ inert; NOₓ reactive,Diatomic (N₂),P2_13,196.64003730440479,"['TlN', 'V8N', 'PrN', 'CrN', 'SN', 'AgN', 'Ta2N', 'Fe3N', 'GaN', 'LaN', 'PbN', 'RhN', 'Ta3N', 'MoN', 'Mn2N', 'C3N', 'HgN', 'SbN', 'SrN', 'ZrN', 'AcN', 'Cr2N', 'Ag3N', 'Pd3N', 'Ba2N', 'RuN', 'CdN', 'InN', 'ZnN', 'TaN', 'BrN', 'NO2', 'Co3N', 'Mo2N', 'TiN', 'OsN', 'Zr2N', 'CuN', 'Na3N', 'Zr3N', 'Fe8N', 'SeN', 'NF', 'Fe2N', 'TcN', 'Re3N', 'YN', 'S2N', 'Ti3N', 'VN', 'Fe4N', 'CN', 'Tc3N', 'NO3', 'Ti2N', 'W2N', 'V2N', 'PdN', 'Hf2N', 'HN', 'ReN', 'Sr2N', 'NF2', 'Pd2N', 'Cu2N', 'Cu3N', 'WN', 'AlN', 'KN', 'Eu2N', 'Ca2N', 'NiN', 'NO', 'NbN', 'FeN', 'Nb2N', 'BN', 'Zn3N', 'MnN', 'IrN', 'B9N', 'LiN', 'Ni3N']"
O,Oxygen,1774,8,15.999,[He] 2s²2p⁴,O-16;O-18,Gas,-218.79,-361.822,54.35999999999999,-182.95,0.001429,Colorless gas,Low,Unknown,High,3.44,13.618,2,-2;-1,66,3.44,13.618,Nonmetal,Unknown,Stable,Unknown,Paramagnetic,+3.45×10⁻⁶ cm³/mol,Red/green aurora lines,777.2 nm (O I),Essential (respiration),O₂ reactive; ozone layer,"Diatomic (O₂), ozone (O₃)",C2/m,107.6438082346079,"['Ti3O', 'TiO', 'NbO', 'MgO', 'NiO', 'CoO', 'Tl2O', 'CuO', 'Li2O', 'Rb2O', 'Sm2O', 'BaO', 'ZnO', 'N2O', 'H2O', 'Ag3O', 'B8O', 'OF', 'BiO', 'InO', 'Ti6O', 'HgO', 'OF3', 'Cl2O', 'Ge3O', 'Cr3O', 'Ta6O', 'CdO', 'AgO', 'Zr3O', 'B2O', 'Na2O', 'PbO', 'Al2O', 'Rb6O', 'K2O', 'CrO', 'BrO', 'Cs7O', 'Sn2O', 'CaO', 'B6O', 'ClO', 'SnO', 'Si3O', 'Ag2O', 'Th3O', 'NO', 'FeO', 'Zr2O', 'VO', 'V8O', 'CO', 'Ta4O', 'PtO', 'Cs3O', 'Ti2O', 'MnO', 'PdO', 'GaO', 'Zr4O', 'SiO', 'Cs2O', 'BeO']"
F,Fluorine,1886,9,18.998,[He] 2s²2p⁵,F-19,Gas,-219.67,-363.406,53.47999999999999,-188.11,0.001696,Pale yellow gas,Low,Unknown,Extremely high,3.98,17.423,1,-1,64,3.98,17.423,Halogen,Unknown,Stable,Unknown,Diamagnetic,-1.7×10⁻⁸ cm³/mol,Yellow-green glow,95.6 nm (F I),Tooth enamel (F⁻),Persistent (CFCs); HF toxic,Diatomic (F₂),Cmce,53.322973487990666,"['V3F', 'Bi3O4F', 'Ba2Br2F', 'Rh3F', 'HF', 'InOF', 'RbO2F', 'Co3O5F', 'Ba2Cl2F', 'Co2O3F', 'Yb2I2F', 'KF', 'Re3F', 'OF', 'Fe3O5F', 'Si3F', 'YbF', 'Ca2Cl2F', 'TbOF', 'Fe4O7F', 'V6O11F', 'Sr2Br2F', 'Mn4O7F', 'SbOF', 'Tl3F', 'RbF', 'CoOF', 'Dy2S2F', 'Ag2F', 'Pd3F', 'Mn6O11F', 'La2S2F', 'Ca2F', 'Er2S2F', 'Y2OF', 'Hg3F', 'YOF', 'V2O3F', 'Sm2Se2F', 'VOF', 'LaF', 'HgF', 'Os3F', 'AgO2F', 'Ag3F', 'VO2F', 'Sm2Cl2F', 'ClF', 'Ge3F', 'N2F', 'YSeF', 'Bi5O7F', 'Ru3F', 'FeOF', 'Fe6O11F', 'NiOF', 'Ir3F', 'NF', 'Fe2O3F', 'Sb5O7F', 'Eu2Br2F', 'Eu2Cl2F', 'SNF', 'Mn5O9F', 'Cu3F', 'Mn3O5F', 'Ho2S2F', 'Pr2Se2F', 'CF', 'TiNF', 'Sm2Br2F', 'Sr2Cl2F', 'Pt3F', 'CsF', 'Mn2O3F', 'CaF', 'Tm2Br2F', 'Nd2S2F', 'Sr2I2F', 'UF', 'CrOF', 'Ca2Br2F', 'C2F', 'SrF', 'Y2S2F', 'Ba2I2F', 'TlF', 'Pr2S2F', 'Tm2I2F', 'Ca10Ge6F', 'Sm2I2F', 'Tb2S2F', 'CuF', 'Fe3F', 'V3O5F', 'Ca10Si6F', 'Fe10O19F', 'MnOF', 'Sm2F', 'LiF', 'BiOF', 'AgF', 'NaF']"
Ne,Neon,1898,10,20.18,[He] 2s²2p⁶,Ne-20;Ne-22,Gas,-248.59,-415.462,24.55999999999997,-246.08,0.0008999,Colorless gas,Unknown,Unknown,Very low,Unknown,21.565,0,0,38,Unknown,21.565,Noble gas,Unknown,Stable,Unknown,Diamagnetic,-7.6×10⁻⁹ cm³/mol,Red-orange glow discharge,640.2 nm (strong),Unknown,Inert,Monatomic,Fm-3m,18.456187514358387,['Ne']
